trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
32,False,"{'a': 0.6, 'e': 0.9392203466968708}",25,0,-24.705114323848914,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.6, 'e': 0.5813218118144357}",25,0,-133.09999783678398,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
34,False,"{'a': 0.6, 'e': 0.02035084333168298}",20,0,-12.517588178906891,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.5477292602242684}",35,0,-103.72327860339736,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.9244717749141202}",20,9,-18.98902933601378,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.6, 'e': 0.9782697014065075}",20,9,-14.135971856634553,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.6903298762015725}",25,0,-162.3746915852697,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
39,False,"{'a': 0.6, 'e': 0.16123796432418885}",20,11,-40.74426665020772,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.6, 'e': 0.424179007336997}",30,14,-36.247733856059654,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
41,False,"{'a': 0.6, 'e': 0.861418048028701}",20,0,-146.1462327069564,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
42,False,"{'a': 0.6, 'e': 0.9977389813911304}",30,0,-180.2740017367812,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
43,False,"{'a': 0.6, 'e': 0.7855209834229068}",20,0,-40.79332384999364,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.6, 'e': 0.2988979063644716}",25,12,-42.35280193399775,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
45,False,"{'a': 0.6, 'e': 0.2921388087338362}",30,15,9.026891148226916,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.6, 'e': 0.7811230330551121}",20,0,-106.19485974922303,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.6, 'e': 0.9972385088794737}",25,0,-119.93867458467582,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
